frame,yaw_deg,pitch_deg,roll_deg,inliers,matches_used
64,18.940823854925902,16.062701420161357,28.21616967943764,82,100
65,19.026921707836415,16.550064974776742,28.390983092774743,62,100
66,18.63147805617203,16.904040847740276,28.388994926756556,94,100
67,18.472974152913757,17.022673376830923,28.227479934890802,96,100
68,18.402186826797628,16.976178103486102,28.29884405034867,95,100
235,46.84055776537747,38.31254442337472,65.05185299135985,76,100
236,46.91019361912017,38.59743480717263,65.13394522766393,92,100
237,46.799468756262165,39.52455598323326,64.68390119120606,90,100
238,46.71417771241835,40.37030656955521,64.61713883728876,95,100
239,47.26658618281006,40.79714874997412,64.7121199161199,67,100
240,47.60256540163329,41.192141714038094,64.6867604187137,69,100
241,47.605700590295484,41.36778896576193,64.61426835292957,74,100
242,47.4265360193851,41.23514394329651,65.06033922253803,66,100
